[2023/12/18 02:35:23] {'model': 'anchor-free', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/af_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.4, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 02:35:23] Start training on tvsum: split 0
[2023/12/18 02:35:30] Epoch: 0/300 Loss: 0.9523/1.0958/0.6722/2.7202 F-score cur/max: 0.5913/0.5913
[2023/12/18 02:35:31] Epoch: 1/300 Loss: 0.7944/0.9252/0.6554/2.3749 F-score cur/max: 0.6088/0.6088
[2023/12/18 02:35:32] Epoch: 2/300 Loss: 0.7570/0.9204/0.6573/2.3347 F-score cur/max: 0.6079/0.6088
[2023/12/18 02:35:32] Epoch: 3/300 Loss: 0.7425/0.9144/0.6580/2.3149 F-score cur/max: 0.6095/0.6095
[2023/12/18 02:35:33] Epoch: 4/300 Loss: 0.7276/0.9063/0.6514/2.2854 F-score cur/max: 0.6124/0.6124
[2023/12/18 02:35:34] Epoch: 5/300 Loss: 0.7222/0.9029/0.6502/2.2752 F-score cur/max: 0.5969/0.6124
[2023/12/18 02:35:34] Epoch: 6/300 Loss: 0.7104/0.8969/0.6490/2.2563 F-score cur/max: 0.6087/0.6124
[2023/12/18 02:35:35] Epoch: 7/300 Loss: 0.6989/0.8835/0.6549/2.2373 F-score cur/max: 0.5967/0.6124
[2023/12/18 02:35:36] Epoch: 8/300 Loss: 0.6886/0.8755/0.6519/2.2160 F-score cur/max: 0.6036/0.6124
[2023/12/18 02:35:36] Epoch: 9/300 Loss: 0.6730/0.8586/0.6482/2.1798 F-score cur/max: 0.6047/0.6124
[2023/12/18 02:35:37] Epoch: 10/300 Loss: 0.6633/0.8598/0.6476/2.1708 F-score cur/max: 0.5988/0.6124
[2023/12/18 02:35:38] Epoch: 11/300 Loss: 0.6499/0.8457/0.6446/2.1402 F-score cur/max: 0.6034/0.6124
[2023/12/18 02:35:38] Epoch: 12/300 Loss: 0.6340/0.8372/0.6460/2.1172 F-score cur/max: 0.5928/0.6124
[2023/12/18 02:35:39] Epoch: 13/300 Loss: 0.6269/0.8291/0.6452/2.1012 F-score cur/max: 0.5980/0.6124
[2023/12/18 02:35:40] Epoch: 14/300 Loss: 0.6073/0.8191/0.6446/2.0710 F-score cur/max: 0.6072/0.6124
[2023/12/18 02:35:40] Epoch: 15/300 Loss: 0.5968/0.8106/0.6444/2.0518 F-score cur/max: 0.5794/0.6124
[2023/12/18 02:35:41] Epoch: 16/300 Loss: 0.5809/0.8105/0.6424/2.0338 F-score cur/max: 0.5809/0.6124
[2023/12/18 02:35:42] Epoch: 17/300 Loss: 0.5762/0.7887/0.6405/2.0054 F-score cur/max: 0.5880/0.6124
[2023/12/18 02:35:42] Epoch: 18/300 Loss: 0.5605/0.7790/0.6392/1.9788 F-score cur/max: 0.5891/0.6124
[2023/12/18 02:35:43] Epoch: 19/300 Loss: 0.5531/0.7750/0.6407/1.9687 F-score cur/max: 0.5695/0.6124
[2023/12/18 02:35:44] Epoch: 20/300 Loss: 0.5425/0.7646/0.6381/1.9453 F-score cur/max: 0.5694/0.6124
[2023/12/18 02:35:44] Epoch: 21/300 Loss: 0.5321/0.7547/0.6372/1.9240 F-score cur/max: 0.5463/0.6124
[2023/12/18 02:35:45] Epoch: 22/300 Loss: 0.5183/0.7509/0.6406/1.9098 F-score cur/max: 0.5596/0.6124
[2023/12/18 02:35:46] Epoch: 23/300 Loss: 0.5135/0.7453/0.6359/1.8947 F-score cur/max: 0.5567/0.6124
[2023/12/18 02:35:46] Epoch: 24/300 Loss: 0.5031/0.7332/0.6356/1.8720 F-score cur/max: 0.5572/0.6124
[2023/12/18 02:35:47] Epoch: 25/300 Loss: 0.4953/0.7340/0.6355/1.8647 F-score cur/max: 0.5605/0.6124
[2023/12/18 02:35:47] Epoch: 26/300 Loss: 0.4827/0.7240/0.6363/1.8431 F-score cur/max: 0.5626/0.6124
[2023/12/18 02:35:48] Epoch: 27/300 Loss: 0.4802/0.7112/0.6349/1.8263 F-score cur/max: 0.5573/0.6124
[2023/12/18 02:35:49] Epoch: 28/300 Loss: 0.4754/0.6963/0.6318/1.8035 F-score cur/max: 0.5485/0.6124
[2023/12/18 02:35:49] Epoch: 29/300 Loss: 0.4664/0.6998/0.6302/1.7964 F-score cur/max: 0.5532/0.6124
[2023/12/18 02:35:50] Epoch: 30/300 Loss: 0.4560/0.6992/0.6295/1.7846 F-score cur/max: 0.5516/0.6124
[2023/12/18 02:35:51] Epoch: 31/300 Loss: 0.4517/0.7030/0.6269/1.7816 F-score cur/max: 0.5498/0.6124
[2023/12/18 02:35:51] Epoch: 32/300 Loss: 0.4365/0.6931/0.6274/1.7570 F-score cur/max: 0.5578/0.6124
[2023/12/18 02:35:52] Epoch: 33/300 Loss: 0.4425/0.6841/0.6233/1.7499 F-score cur/max: 0.5461/0.6124
[2023/12/18 02:35:53] Epoch: 34/300 Loss: 0.4284/0.6708/0.6225/1.7218 F-score cur/max: 0.5473/0.6124
[2023/12/18 02:35:53] Epoch: 35/300 Loss: 0.4269/0.6686/0.6259/1.7214 F-score cur/max: 0.5255/0.6124
[2023/12/18 02:35:54] Epoch: 36/300 Loss: 0.4168/0.6771/0.6241/1.7180 F-score cur/max: 0.5374/0.6124
[2023/12/18 02:35:55] Epoch: 37/300 Loss: 0.4140/0.6681/0.6257/1.7079 F-score cur/max: 0.5417/0.6124
[2023/12/18 02:35:55] Epoch: 38/300 Loss: 0.4133/0.6557/0.6214/1.6905 F-score cur/max: 0.5401/0.6124
[2023/12/18 02:35:56] Epoch: 39/300 Loss: 0.4018/0.6565/0.6208/1.6790 F-score cur/max: 0.5579/0.6124
[2023/12/18 02:35:57] Epoch: 40/300 Loss: 0.4036/0.6549/0.6233/1.6818 F-score cur/max: 0.5441/0.6124
[2023/12/18 02:35:57] Epoch: 41/300 Loss: 0.3907/0.6434/0.6188/1.6530 F-score cur/max: 0.5368/0.6124
[2023/12/18 02:35:58] Epoch: 42/300 Loss: 0.3847/0.6449/0.6190/1.6487 F-score cur/max: 0.5101/0.6124
[2023/12/18 02:35:59] Epoch: 43/300 Loss: 0.3833/0.6438/0.6211/1.6483 F-score cur/max: 0.5409/0.6124
[2023/12/18 02:35:59] Epoch: 44/300 Loss: 0.3784/0.6357/0.6211/1.6352 F-score cur/max: 0.5060/0.6124
[2023/12/18 02:36:00] Epoch: 45/300 Loss: 0.3701/0.6249/0.6139/1.6089 F-score cur/max: 0.5227/0.6124
[2023/12/18 02:36:01] Epoch: 46/300 Loss: 0.3698/0.6329/0.6161/1.6188 F-score cur/max: 0.5549/0.6124
[2023/12/18 02:36:01] Epoch: 47/300 Loss: 0.3720/0.6334/0.6136/1.6190 F-score cur/max: 0.5054/0.6124
[2023/12/18 02:36:02] Epoch: 48/300 Loss: 0.3559/0.6158/0.6139/1.5855 F-score cur/max: 0.5248/0.6124
[2023/12/18 02:36:03] Epoch: 49/300 Loss: 0.3550/0.6248/0.6125/1.5922 F-score cur/max: 0.5207/0.6124
[2023/12/18 02:36:03] Epoch: 50/300 Loss: 0.3492/0.6241/0.6126/1.5858 F-score cur/max: 0.5287/0.6124
[2023/12/18 02:36:04] Epoch: 51/300 Loss: 0.3396/0.6127/0.6143/1.5667 F-score cur/max: 0.5285/0.6124
[2023/12/18 02:36:05] Epoch: 52/300 Loss: 0.3452/0.6212/0.6108/1.5772 F-score cur/max: 0.5126/0.6124
[2023/12/18 02:36:05] Epoch: 53/300 Loss: 0.3396/0.6082/0.6106/1.5583 F-score cur/max: 0.5200/0.6124
[2023/12/18 02:36:06] Epoch: 54/300 Loss: 0.3320/0.6053/0.6076/1.5449 F-score cur/max: 0.5280/0.6124
[2023/12/18 02:36:07] Epoch: 55/300 Loss: 0.3319/0.6041/0.6127/1.5486 F-score cur/max: 0.5339/0.6124
[2023/12/18 02:36:07] Epoch: 56/300 Loss: 0.3213/0.6011/0.6079/1.5304 F-score cur/max: 0.5140/0.6124
[2023/12/18 02:36:08] Epoch: 57/300 Loss: 0.3209/0.5983/0.6095/1.5286 F-score cur/max: 0.5332/0.6124
[2023/12/18 02:36:09] Epoch: 58/300 Loss: 0.3141/0.5994/0.6058/1.5193 F-score cur/max: 0.5392/0.6124
[2023/12/18 02:36:09] Epoch: 59/300 Loss: 0.3170/0.5829/0.6095/1.5094 F-score cur/max: 0.5523/0.6124
[2023/12/18 02:36:10] Epoch: 60/300 Loss: 0.3136/0.5923/0.6084/1.5142 F-score cur/max: 0.5400/0.6124
[2023/12/18 02:36:11] Epoch: 61/300 Loss: 0.3112/0.5869/0.5993/1.4974 F-score cur/max: 0.5149/0.6124
[2023/12/18 02:36:11] Epoch: 62/300 Loss: 0.3058/0.5793/0.6040/1.4891 F-score cur/max: 0.5318/0.6124
[2023/12/18 02:36:12] Epoch: 63/300 Loss: 0.3054/0.5771/0.6048/1.4872 F-score cur/max: 0.5197/0.6124
[2023/12/18 02:36:13] Epoch: 64/300 Loss: 0.2998/0.5852/0.6060/1.4910 F-score cur/max: 0.5127/0.6124
[2023/12/18 02:36:13] Epoch: 65/300 Loss: 0.3050/0.5658/0.6083/1.4791 F-score cur/max: 0.5197/0.6124
[2023/12/18 02:36:14] Epoch: 66/300 Loss: 0.2967/0.5764/0.6012/1.4742 F-score cur/max: 0.5196/0.6124
[2023/12/18 02:36:15] Epoch: 67/300 Loss: 0.2904/0.5763/0.5996/1.4663 F-score cur/max: 0.5291/0.6124
