[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:42:50] Epoch: 0/300 Loss: 0.9605/0.8860/1.8464 F-score cur/max: 0.5869/0.5869
[2023/12/18 08:42:51] Epoch: 1/300 Loss: 0.8836/0.7476/1.6312 F-score cur/max: 0.6018/0.6018
[2023/12/18 08:42:52] Epoch: 2/300 Loss: 0.8811/0.7523/1.6334 F-score cur/max: 0.5991/0.6018
[2023/12/18 08:42:53] Epoch: 3/300 Loss: 0.8585/0.7243/1.5828 F-score cur/max: 0.6064/0.6064
[2023/12/18 08:42:54] Epoch: 4/300 Loss: 0.8349/0.7297/1.5646 F-score cur/max: 0.6025/0.6064
[2023/12/18 08:42:56] Epoch: 5/300 Loss: 0.8512/0.7544/1.6056 F-score cur/max: 0.6011/0.6064
[2023/12/18 08:42:57] Epoch: 6/300 Loss: 0.8476/0.7212/1.5687 F-score cur/max: 0.6144/0.6144
[2023/12/18 08:42:58] Epoch: 7/300 Loss: 0.8471/0.7075/1.5545 F-score cur/max: 0.5920/0.6144
[2023/12/18 08:42:59] Epoch: 8/300 Loss: 0.8382/0.7197/1.5579 F-score cur/max: 0.6199/0.6199
[2023/12/18 08:43:00] Epoch: 9/300 Loss: 0.8245/0.7091/1.5336 F-score cur/max: 0.5965/0.6199
[2023/12/18 08:43:01] Epoch: 10/300 Loss: 0.8357/0.6898/1.5254 F-score cur/max: 0.6044/0.6199
[2023/12/18 08:43:02] Epoch: 11/300 Loss: 0.8546/0.7157/1.5703 F-score cur/max: 0.6004/0.6199
[2023/12/18 08:43:03] Epoch: 12/300 Loss: 0.8277/0.6892/1.5169 F-score cur/max: 0.6037/0.6199
[2023/12/18 08:43:05] Epoch: 13/300 Loss: 0.8378/0.6909/1.5287 F-score cur/max: 0.6060/0.6199
[2023/12/18 08:43:06] Epoch: 14/300 Loss: 0.8269/0.6962/1.5230 F-score cur/max: 0.6249/0.6249
[2023/12/18 08:43:07] Epoch: 15/300 Loss: 0.8233/0.6782/1.5014 F-score cur/max: 0.6095/0.6249
[2023/12/18 08:43:08] Epoch: 16/300 Loss: 0.8003/0.6967/1.4970 F-score cur/max: 0.6167/0.6249
[2023/12/18 08:43:09] Epoch: 17/300 Loss: 0.8016/0.6706/1.4723 F-score cur/max: 0.6044/0.6249
